Date,SST_Absolute_Forecast,Nino34_Forecast
2025-01-01,29.088741,-0.46659777
2025-02-01,28.963469,-0.32352647
2025-03-01,29.290356,-0.15471219
2025-04-01,29.734018,0.004552571
2025-05-01,29.80479,0.1337549
2025-06-01,29.376308,0.2199032
2025-07-01,28.805342,0.2591239
2025-08-01,28.503056,0.30278996
2025-09-01,28.632221,0.4107505
2025-10-01,29.09688,0.5718526
2025-11-01,29.518503,0.7252959
2025-12-01,29.382803,0.7420272
